EB_T (K),EB_((m0-m)/(m0-mf))
348.5023667,0.068286055
348.6683667,0.068503502
348.8434333,0.068714459
349.0107667,0.068926497
349.174,0.069137453
349.3392667,0.069346787
349.5102,0.069553957
349.6831667,0.069761127
349.8504333,0.069967215
350.0136333,0.070172762
350.1839667,0.07037236
350.3550333,0.070570334
350.5247333,0.070766686
350.6936333,0.070963038
350.8607667,0.071151817
351.0319,0.071344382
351.1969667,0.071538029
351.3668333,0.071728972
351.5313333,0.071919374
351.7078667,0.072107612
351.8755333,0.072294227
352.0374667,0.072481383
352.2033333,0.072659344
352.3809333,0.072839468
352.5550333,0.073017429
352.7297,0.073193226
352.8853667,0.073364155
353.0508667,0.073536706
353.2214333,0.073709258
353.3970667,0.073881268
353.5691333,0.074048411
353.7338,0.074215553
353.9071667,0.074381614
354.0827667,0.074545511
354.2452,0.074704539
354.4154,0.074863568
354.5828667,0.075020433
354.7498667,0.075177298
354.9203333,0.075331459
355.0932333,0.075488324
355.2648,0.075645189
355.4262667,0.075801513
355.5937667,0.075956755
355.7606333,0.076109293
355.9270333,0.07626129
356.0998667,0.076412205
356.2654,0.076557169
356.4360667,0.076704298
356.6030333,0.076850345
356.7790333,0.076994228
356.9428667,0.077134325
357.1156,0.077273339
357.2826333,0.077411273
357.4444333,0.077549206
357.6183667,0.077679566
357.7945333,0.077810467
357.9635,0.077941368
358.1311333,0.078071188
358.2954333,0.078199384
358.464,0.078325958
358.6335,0.078453073
358.8144,0.078580728
358.98,0.078705139
359.1428667,0.078828467
359.3193667,0.078950173
359.4878667,0.079070796
359.6549,0.079189797
359.8215667,0.079307176
359.9845667,0.079425636
360.1595333,0.079543014
360.3287333,0.079657147
360.4995333,0.079769657
360.6675333,0.079882708
360.8325333,0.079994677
361.011,0.080105024
361.1780667,0.080210502
361.3493667,0.08031598
361.5130667,0.080420377
361.6853333,0.080523691
361.8501,0.080620515
362.0171667,0.080720043
362.1850333,0.080820112
362.3562333,0.080920722
362.5286667,0.081018087
362.6996,0.081115451
362.8678333,0.081212275
363.0369333,0.08131018
363.2064333,0.081407004
363.3769333,0.081503286
363.5438333,0.081598487
363.7092333,0.081691524
363.88,0.081782398
364.0462667,0.081874353
364.2191333,0.081964686
364.3897,0.082053396
364.5635333,0.082137778
364.7265333,0.082222702
364.8914333,0.082306543
365.0643,0.082390385
365.2396667,0.08247044
365.4123667,0.082551037
365.5741333,0.082633255
365.7406,0.082715474
365.9045333,0.082794448
366.0702667,0.08287288
366.2397333,0.082950772
366.415,0.083027041
