EM_T (K),EM_((m0-m)/(m0-mf))
348.2821333,0.045028095
348.4466,0.045190766
348.6165333,0.045353436
348.7737667,0.045517176
348.9450333,0.045679312
349.1069,0.045839841
349.274,0.046001442
349.4380333,0.046163577
349.5943,0.046323572
349.7541667,0.046483031
349.9298,0.046639815
350.0951333,0.046794459
350.2486,0.046943752
350.4217667,0.047093045
350.5876667,0.047243943
350.7454667,0.047396446
350.913,0.047544669
351.0769667,0.047696637
351.2426,0.04784807
351.4075667,0.048000039
351.5698667,0.048155753
351.7336,0.048309326
351.9088333,0.0484629
352.0679333,0.048616473
352.2272667,0.048766301
352.3958,0.048912918
352.5557,0.04905686
352.7211667,0.049201337
352.895,0.049338858
353.0554667,0.049480659
353.2182333,0.049621925
353.3869333,0.049762657
353.5503667,0.049903923
353.7199,0.050044119
353.8833333,0.050181104
354.0484667,0.050314344
354.2182333,0.050445444
354.3749667,0.050571192
354.5372333,0.050699616
354.7050667,0.05082911
354.8711667,0.050956999
355.0326333,0.051088098
355.2055667,0.051221338
355.363,0.051355648
355.5305667,0.051486747
355.7048333,0.051624268
355.8605,0.051754832
356.0296,0.051882186
356.1946,0.052005794
356.365,0.052118165
356.5262333,0.052234282
356.6897667,0.052349328
356.8551,0.05246491
357.0164667,0.052581026
357.1896667,0.052700353
357.3547,0.052819145
357.5233667,0.052936332
357.6882,0.053058335
357.8493,0.053176057
358.0123,0.053290568
358.1776,0.053403474
358.3407,0.053508889
358.5074333,0.053618049
358.6711333,0.05372828
358.8427333,0.053840651
359.0071,0.053949276
359.1842,0.054058971
359.3425,0.054168667
359.4999667,0.054277827
359.6729667,0.054383242
359.8345,0.054487051
359.9997333,0.05458979
360.1675333,0.054693064
360.3283,0.054789917
360.4995333,0.054888376
360.6644667,0.054985229
360.8239667,0.055080476
360.9947333,0.055176259
361.1565,0.055273647
361.3263333,0.055373176
361.4970333,0.055472704
361.6647,0.055569022
361.8142,0.05566427
361.9919667,0.055757377
362.1571333,0.055850485
362.3276667,0.055937706
362.4894333,0.056028673
362.6556333,0.05612178
362.8121667,0.056215958
362.9791667,0.056311205
363.1484333,0.056405383
363.3116,0.056497955
363.4890333,0.056589992
363.6540667,0.056680424
363.8182667,0.05676818
363.9821,0.056854331
364.1398667,0.056938877
364.3123,0.057015396
364.4764333,0.057095661
364.6475333,0.057176461
364.8049333,0.057256726
364.9722,0.057338061
365.1398,0.057416721
365.3115333,0.057493775
365.4721,0.05757083
365.6463,0.057647884
365.8191667,0.057724938
365.9741,0.057802528
366.1296667,0.057879582
366.3027,0.057953961
366.4637333,0.05802834
366.6298667,0.058102719
366.8011333,0.058177098
366.9566,0.058250941
367.1275,0.058319434
367.2928,0.058389532
367.4554667,0.05845963
367.6198667,0.058527053
367.7897667,0.058596616
367.9615333,0.058663503
368.1286667,0.058730926
368.2857333,0.058798348
368.4592667,0.058859885
368.6224333,0.058921956
368.7853667,0.058985633
368.9540333,0.05904717
369.1166667,0.059107636
369.2931667,0.059169707
369.4563333,0.059231244
369.6206333,0.05929171
369.7801667,0.059351106
369.9442,0.059411037
370.1115333,0.059471504
370.2810667,0.059529294
370.4563,0.05958762
370.6022,0.059645946
370.7753667,0.059703737
370.9420667,0.059763668
371.1078333,0.059822529
371.2688333,0.059879249
371.4438333,0.059932224
371.6115333,0.059983594
371.7755333,0.060036034
371.9380667,0.060089008
372.1081333,0.060138773
372.2687667,0.060187467
372.4349333,0.06023402
372.5986333,0.060281644
372.7713333,0.060329803
372.9339667,0.060377962
373.0927667,0.060427727
373.2649667,0.060480701
373.4346667,0.060533676
373.59,0.060585046
